Postcode,VAM Vaccinations
 2066,2
 2287,1
 2762,4
.2113,1
000,2
0000,7
00121,2
025,1
026,1
032,1
035,1
036,1
0410259420,2
0432071934,2
0432818259,1
0455522871,2
0474078258,1
06,2
074,1
0810,2
0812,1
0820,2
0822,1
0832,2
0835,1
0870,1
0885,2
0931,2
098395,1
10,3
101,1
1094,1
110,2
1110,2
1148,2
1153,1
119,4
1194,1
12,2
122,1
1235,1
126,3
13,2
1335,2
134,2
1340,1
1360,2
145,5
1485,2
15,1
1500,2
1540,1
1577,2
159,1
1595,4
16,2
1660,2
1680,1
17,2
1750,1
1752,2
1765,3
1790,2
18,1
1800,2
1830,1
1864,1
1875,2
1934,2
1962,1
1996,2
200,1
2000,6004
20000,2
2001,2
2003,1
2005,2
2006,3
2007,1423
2008,1918
2009,1508
2010,4334
2011,2468
2012037,2
2013,1
2014,2
2015,1113
2016,1426
2017,5276
2018,1983
2019,858
20190,2
202,6
2020,3142
2021,2169
2022,1675
2023,1073
2024,1240
2025,742
2026,4661
20268,2
2027,855
2028,598
2029,931
203,1
2030,1073
2031,3718
2032,1733
2033,1414
2034,2334
2035,2580
203511,2
2036,2226
2037,1252
2038,525
2039,536
2040,1297
2041,826
2042,1334
2043,891
2044,593
2045,273
2046,1640
2047,833
2048,500
2049,788
205,2
2050,681
2051,6
2052,26
2053,2
2055,5
2056,1
2057,3
2058,2
2059,4
206,2
2060,2037
2061,734
2062,637
2063,680
2064,1328
2065,4357
2066,4094
2067,4954
2068,1773
2069,1588
206p,1
207,3
2070,1569
2071,1567
2072,1244
2073,1904
2074,2077
2075,2046
2076,2037
2077,4808
20777,1
2078,1
2079,622
2080,118
2081,298
2082,268
2083,56
2084,308
2085,1083
2086,1497
2087,1363
2088,2807
2089,1417
2090,1489
2091,1
2092,726
2093,2574
2094,738
2095,2449
2096,2187
2097,1893
2099,5543
21 r,2
210,3
2100,2685
2101,2016
2102,768
2103,922
2104,241
2105,150
2106,943
2107,1217
2108,76
2109,7
2110,930
2111,1568
2112,6233
2113,5264
2114,3962
2115,2081
2116,1265
2117,3818
2118,5132
2119,1364
212,2
2120,1951
2121,6941
2122,5088
2123,8
2124,9
2125,1960
2126,2686
21261,2
2127,6702
2128,525
2129,1
2130,554
2131,2788
2132,1067
2133,1188
2134,4406
2135,6084
2136,1146
2137,2636
2138,4374
2139,1
2140,5883
2141,8722
2142,7591
2143,2063
2144,11348
2145,26864
21455,1
2146,5316
2147,7675
2148,17054
215,3
2150,14486
2151,4327
2152,2065
2153,10791
2154,6223
2155,12897
21555,2
2156,1196
2157,187
2158,843
2159,300
216,1
2160,9505
2161,7586
2162,3581
2163,1946
2164,6212
2165,12543
21656,1
2166,14388
2167,3631
216701/2024,2
21676,2
2168,11470
2169,5
217,3
2170,25790
2171,11950
21710,1
2172,605
2173,3581
21732,1
2174,3848
2175,464
2176,16187
2177,5181
2178,1058
2179,4638
218,2
2183,5
2188,4
2190,4491
2191,693
2192,1736
2193,2446
2194,4333
2195,4197
2196,5104
2197,1601
2198,1424
2199,3462
220,2
2200,10797
2202,1
2203,878
2204,1738
2205,3487
2206,1666
2207,2227
2208,1223
2209,1882
22097,1
220”,1
221,1
2210,3841
2211,2716
2212,3235
2213,3796
22138,2
2214,626
2215,3
2216,2567
2217,2600
2218,1825
2219,699
22198,1
222,2
2220,4857
2221,1727
2222,1392
2223,1967
22230,2
2224,809
2225,253
2226,761
2227,793
2228,1360
22284,2
2229,1650
2230,1638
2231,91
2232,2122
2233,1528
2234,2217
22342,1
2235,4
2236,1
2238,1
2240,1
2244,1
2245,1
2246,2
2247,1
2248,4
2249,1
225,1
2250,3476
22500,1
2251,972
2252,2
2253,4
2254,2
2256,590
22563,1
2257,983
2258,269
2259,4509
2260,952
2261,1708
2262,1115
2263,1037
2264,1980
2265,859
2266,6
2267,400
2268,1
2269,3
227,1
2270,1
2271,1
2274,2
2275,2
2278,611
228,3
2280,8522
22809,2
2281,3940
2282,4855
2283,3874
2284,2728
2285,7860
2286,881
2287,8716
2288,28
2289,5540
229,7
2290,9633
22900,2
2291,4014
22914,2
2292,660
2293,820
2294,403
2295,1001
2296,503
2297,440
2298,2140
2299,2737
2300,3000
23000,2
2301,2
2302,337
2303,2148
2304,3117
2305,3531
2306,427
2307,787
2308,211
2309,1
2311,36
2312,53
2313,2
2315,829
2316,450
2317,373
2318,1135
2319,385
232,5
2320,4307
2321,2199
2322,3347
2323,3110
23232,2
2324,1573
2325,1996
2326,591
2327,649
2328,151
2329,55
232s,1
233,2
2330,828
2331,5
2332,2
2333,864
2334,303
2335,849
2336,93
2337,333
2338,18
2339,10
234,3
2340,2262
23401,1
2341,31
2342,17
2343,58
2344,25
2345,23
2346,57
2347,54
2349,1
235,1
2350,1143
2351,6
2352,103
2353,47
2354,21
2355,22
2357,21
2358,60
2359,35
2360,69
2361,3
2363,4
2364,1
2365,22
2369,10
2370,36
2371,8
2372,2
2379,1
2380,71
2381,17
2382,11
2383,3
2385,2
2386,2
2387,8
2388,26
2389,4
2390,194
2391,5
2393,1
2395,6
2396,1
2397,10
2398,7
2399,26
240,1
2400,390
2401,6
2402,24
2403,7
2404,33
2405,12
2406,6
2409,4
241,1
2410,3
2412,3
2415,5
2416,1
2418,3
2420,162
2421,208
2422,48
2423,70
2424,14
2425,66
2426,42
2427,98
2428,485
2429,337
2430,1144
2431,132
2434,2
2437,1
2439,96
244,3
2440,1368
2441,168
2443,142
2444,2692
24444,1
2445,282
2446,599
2447,113
2448,133
2449,30
245,3
2450,2997
2451,2
2452,1044
24526,1
2453,45
2454,175
2455,44
24552,1
2456,1013
2457,2
2458,1
2460,3113
2462,235
2463,193
2464,154
2465,10
2466,36
2468,1
2469,82
2470,236
2471,114
2472,50
2473,47
2474,106
2475,2
2476,9
2477,356
2478,616
2479,147
2480,4291
2481,296
2482,147
2483,237
2484,462
2485,750
2486,1194
2487,608
2488,153
2489,342
2490,23
250,3
2500,8367
2501,1
2502,1303
2504,1
2505,560
2506,827
2507,5
2508,551
2509,5
2510,1
2511,2
2512,1
25129,1
2513,4
2515,1338
2516,777
2517,1725
25176,1
2518,2569
2519,2674
252,4
2520,5
2521,1
2522,8
2523,2
2524,4
2525,1805
2526,2295
2527,3305
2528,2328
2529,4047
2530,4718
2531,1
2533,1672
2534,403
2535,271
2536,87
2537,91
2538,34
2539,174
2540,1404
2541,1500
2542,2
25440,1
2545,5
2546,44
2548,168
2549,73
2550,559
2551,75
2553,1
2555,43
2556,491
2557,5030
2558,3032
2559,803
256,2
2560,18990
2561,2
2563,40
2564,5053
2565,10052
2566,6943
2567,9083
2568,118
2569,115
257,1
2570,12139
25700,1
2571,1025
2572,280
2573,304
2574,326
2575,382
2576,218
2577,358
2578,30
2579,88
2580,1347
2581,24
2582,444
2583,45
2584,9
2585,1
25852,1
2586,13
2587,1
259,3
2590,31
2594,9
2599,2
260,1
2600,4
2601,4
2602,5
2603,4
2604,4
2605,5
2606,6
2607,4
2609,2
261,3
2611,6
2612,5
2614,1
2615,7
2617,10
2618,9
2619,83
2620,448
2621,34
2622,34
2623,4
2624,2
2625,2
2627,53
2628,13
2629,12
2630,86
2631,2
2632,13
2633,5
2634,2
2635,2
2640,24
2641,8
2642,5
2644,4
2645,3
2646,5
2648,116
265,2
2650,1862
2651,77
2652,98
2653,2
2655,24
2656,5
26560,1
2657,1
2658,3
2659,2
266,2
2660,9
2661,9
2663,82
2664,1
2665,18
2666,22
2668,3
26680,1
2669,7
267,2
2670,2
2671,11
2672,5
2673,2
2675,16
2676,1
2677,4
2678,9
2679,2
268,1
2680,866
2681,56
2682,1
2690,2
2695,1
2699,2
27,5
270,1
2700,72
2701,57
2702,13
2703,7
2705,162
2706,38
2707,20
2710,355
2711,12
2712,3
2713,16
2714,9
2715,162
2716,2
2717,149
2720,24
2722,15
2725,1
2726,2
2729,7
2730,5
2731,25
2732,19
2733,25
27338,1
2734,4
2735,6
2736,30
2737,3
2738,163
2739,95
274,1
2744,2
2745,5909
2746,9
2747,9419
2748,252
2749,2479
275,4
2750,7896
2751,9
2752,724
2753,1381
2754,465
2755,7
2756,2460
2757,72
2758,596
2759,5129
276,5
2760,6542
2761,7991
2762,6696
2763,8380
2764,9
2765,10221
2766,3486
2767,5586
2768,6918
2769,4495
2770,11761
2771,1
2773,842
2774,1748
2775,46
2776,377
2777,1995
2778,192
27782,1
2779,396
278,1
2780,630
2781,2
2782,366
2783,268
2784,108
2785,218
2786,52
2787,72
2789,2
2790,1144
2791,14
2792,17
2793,5
2794,29
2795,6588
2796,11
2797,19
2798,231
2799,346
27999,1
28,1
280,4
2800,6486
2801,2
2803,3
2804,25
2805,3
2806,3
2809,2
2818,91
2820,153
2821,331
2822,40
2823,26
2824,11
2825,10
2826,1
2827,32
2828,3
2829,5
283,4
2830,4778
2831,83
2832,4
2834,3
2835,5
2836,4
2838,1
2839,6
284,4
2840,9
2842,12
2843,13
2844,19
2845,117
2846,13
2847,113
2848,13
2849,5
285,3
2850,88
2852,25
2853,1
2859,4
2864,52
2865,36
2866,137
2867,20
2868,32
2869,52
2870,50
2871,20
2873,8
2875,4
2876,5
